@-@companyName@-@,Text,Давайте начнём. Как называется ваша компания?
@-@companyStory@-@,Text,Расскажите немного о её истории и деятельности.
@-@product@-@,Text,Какой у вас фокусный продукт?
@-@productTitle@-@,Text,Как он называется?
@-@competitors@-@,Text,Есть ли на рынке конкуренты? Расскажите немного о них.
@-@killerFeature@-@,Text,Чем ваш продукт выгодно от них отличается? 
@-@productLocalization@-@,Text,Опишите локализацию продукта.
@-@market@-@,Text,Теперь расскажите про рынок и его объемы.
@-@marketExtended@-@,Text,Говоря о целевом рынке продукта и его объёмах? Какими они были раньше? Какими они будут через 3 года и 10 лет?
@-@injectionCases@-@,Text,Какие есть кейсы внедрения?
@-@awards@-@,Text,Ваш продукт был на акселераторах или участвовал в других мероприятиях?
@-@investmentsAndGrants@-@,Text,Какие инвестиции и гранты уже привлечены в проект?
@-@theAmountOfInvestment@-@,Text,Инвестиции в каких объёмах вы рассчитываете получить от нашей компании?
@-@part@-@,Text,За какую долю компании?
@-@forWhat@-@,Text,На что вы планируете их потратить?
@-@purpose@-@,Text,Для достижения какой цели?
@-@pilotProjects@-@,Text,Какие у вас были пилотные проекты?
@-@results@-@,Text,Какие результаты они принесли?
@-@pilotProjectsParticipants@-@,Text,С кем вы проводили эти пилотные проекты?
@-@salesTracktion@-@,Text,Прекрасно. Теперь немного о финансах. Опишите трекшн ваших продаж. Если вам так удобнее - можете вместо описания прикрепить диаграмму)
@-@revenue@-@,Test,Какой оказалась ваша выручка за позапрошлый год? прошлый и текущий год?
@-@components@-@,Text,Хорошо. вернёмся к продукту. теперь опишите все его составляющие и их функционал.
@-@technology@-@,Text,Какой технологический стек они используют?
@-@scheme@-@,Text,Кому и по какой схеме продается продукт?
@-@sales@-@,Text,А какие каналы продаж при этом используются?
@-@improvedTheProduct@-@,Text,Как вы улучшали продукт?
@-@salesGrowth@-@,Text,Насколько увеличилось количество продаж и клиентов?
@-@idealClient@-@,Text,Чтож. Осталось буквально несколько вопросов. Опишите своего идеального клиента.
@-@productPlan@-@,Text,Занимательно. теперь давайте о планах. Каков ваш план развития продукта на ближайшие 3 года?
@-@salesPlan@-@,Text,А что вы скажите о плане развития продаж на тот же срок?
@-@teamShort@-@,Text,Работаете ли вы над командой все время? Сколько человек у вас в штате?
@-@teamDescription@-@,Text,Расскажите о команде немного подробнее.
@-@need@-@,Text,Чтож. остался последний вопрос и пара фотокарточек. Этот вопрос - один из самых важных. Какую потребность пользователя покрывает ваш продукт?
@-@teamPhoto@-@,Picture,Ну и теперь пара фото. Для начала прикрепите фото своей команды.
@-@productPhoto@-@,Picture,Теперь изображение продукта.
@-@logo@-@,Picture, Ну и наконец - свой логотип.
@-@final@-@,Text,Приятно было с вами пообщаться. Ваша заявка отправлена нашим аналитикам и вскоре вы получите ответ)
